Time	Node	Type	Packets	
54999	0	CacheHits	883
54999	0	CacheMisses	17782
54999	1	CacheHits	477
54999	1	CacheMisses	12707
54999	2	CacheHits	768
54999	2	CacheMisses	17435
54999	3	CacheHits	698
54999	3	CacheMisses	18324
54999	4	CacheHits	506
54999	4	CacheMisses	16200
54999	5	CacheHits	806
54999	5	CacheMisses	22093
54999	6	CacheHits	658
54999	6	CacheMisses	14165
54999	7	CacheHits	190
54999	7	CacheMisses	1483
54999	8	CacheHits	377
54999	8	CacheMisses	2458
54999	9	CacheHits	531
54999	9	CacheMisses	2598
54999	10	CacheHits	533
54999	10	CacheMisses	2549
54999	11	CacheHits	507
54999	11	CacheMisses	2602
54999	12	CacheHits	287
54999	12	CacheMisses	2450
54999	13	CacheHits	507
54999	13	CacheMisses	2536
54999	14	CacheHits	334
54999	14	CacheMisses	2509
54999	15	CacheHits	353
54999	15	CacheMisses	2443
54999	16	CacheHits	357
54999	16	CacheMisses	2505
54999	17	CacheHits	390
54999	17	CacheMisses	2592
54999	18	CacheHits	345
54999	18	CacheMisses	2510
54999	19	CacheHits	424
54999	19	CacheMisses	2656
54999	20	CacheHits	510
54999	20	CacheMisses	2554
54999	21	CacheHits	360
54999	21	CacheMisses	2533
54999	22	CacheHits	421
54999	22	CacheMisses	2614
54999	23	CacheHits	402
54999	23	CacheMisses	2500
54999	24	CacheHits	515
54999	24	CacheMisses	2625
54999	25	CacheHits	405
54999	25	CacheMisses	2478
54999	26	CacheHits	338
54999	26	CacheMisses	2499
54999	27	CacheHits	355
54999	27	CacheMisses	2530
54999	28	CacheHits	432
54999	28	CacheMisses	2560
54999	29	CacheHits	377
54999	29	CacheMisses	2466
54999	30	CacheHits	512
54999	30	CacheMisses	2584
54999	31	CacheHits	391
54999	31	CacheMisses	2503
54999	32	CacheHits	420
54999	32	CacheMisses	2465
54999	33	CacheHits	466
54999	33	CacheMisses	2499
54999	34	CacheHits	279
54999	34	CacheMisses	2505
54999	35	CacheHits	392
54999	35	CacheMisses	2556
54999	36	CacheHits	388
54999	36	CacheMisses	2570
54999	37	CacheHits	469
54999	37	CacheMisses	2577
54999	38	CacheHits	402
54999	38	CacheMisses	2739
