Time	Node	Type	Packets	
54999	0	CacheHits	2247
54999	0	CacheMisses	11670
54999	1	CacheHits	1165
54999	1	CacheMisses	8493
54999	2	CacheHits	2073
54999	2	CacheMisses	11626
54999	3	CacheHits	2070
54999	3	CacheMisses	12409
54999	4	CacheHits	1544
54999	4	CacheMisses	11235
54999	5	CacheHits	2652
54999	5	CacheMisses	15138
54999	6	CacheHits	1766
54999	6	CacheMisses	9380
54999	7	CacheHits	257
54999	7	CacheMisses	1060
54999	8	CacheHits	781
54999	8	CacheMisses	1528
54999	9	CacheHits	810
54999	9	CacheMisses	1569
54999	10	CacheHits	822
54999	10	CacheMisses	1580
54999	11	CacheHits	807
54999	11	CacheMisses	1616
54999	12	CacheHits	785
54999	12	CacheMisses	1577
54999	13	CacheHits	815
54999	13	CacheMisses	1582
54999	14	CacheHits	750
54999	14	CacheMisses	1530
54999	15	CacheHits	709
54999	15	CacheMisses	1546
54999	16	CacheHits	806
54999	16	CacheMisses	1563
54999	17	CacheHits	833
54999	17	CacheMisses	1599
54999	18	CacheHits	798
54999	18	CacheMisses	1609
54999	19	CacheHits	874
54999	19	CacheMisses	1610
54999	20	CacheHits	788
54999	20	CacheMisses	1622
54999	21	CacheHits	840
54999	21	CacheMisses	1579
54999	22	CacheHits	834
54999	22	CacheMisses	1612
54999	23	CacheHits	843
54999	23	CacheMisses	1516
54999	24	CacheHits	871
54999	24	CacheMisses	1559
54999	25	CacheHits	815
54999	25	CacheMisses	1538
54999	26	CacheHits	797
54999	26	CacheMisses	1588
54999	27	CacheHits	811
54999	27	CacheMisses	1574
54999	28	CacheHits	826
54999	28	CacheMisses	1583
54999	29	CacheHits	830
54999	29	CacheMisses	1568
54999	30	CacheHits	922
54999	30	CacheMisses	1567
54999	31	CacheHits	841
54999	31	CacheMisses	1567
54999	32	CacheHits	823
54999	32	CacheMisses	1546
54999	33	CacheHits	859
54999	33	CacheMisses	1572
54999	34	CacheHits	865
54999	34	CacheMisses	1584
54999	35	CacheHits	866
54999	35	CacheMisses	1597
54999	36	CacheHits	789
54999	36	CacheMisses	1597
54999	37	CacheHits	757
54999	37	CacheMisses	1605
54999	38	CacheHits	864
54999	38	CacheMisses	1626
