Time	Node	Type	Packets	
54999	0	CacheHits	3266
54999	0	CacheMisses	9283
54999	1	CacheHits	1739
54999	1	CacheMisses	6865
54999	2	CacheHits	2945
54999	2	CacheMisses	9347
54999	3	CacheHits	3043
54999	3	CacheMisses	9915
54999	4	CacheHits	2255
54999	4	CacheMisses	9040
54999	5	CacheHits	4252
54999	5	CacheMisses	12036
54999	6	CacheHits	2404
54999	6	CacheMisses	7475
54999	7	CacheHits	156
54999	7	CacheMisses	1059
54999	8	CacheHits	587
54999	8	CacheMisses	1479
54999	9	CacheHits	619
54999	9	CacheMisses	1509
54999	10	CacheHits	616
54999	10	CacheMisses	1535
54999	11	CacheHits	641
54999	11	CacheMisses	1552
54999	12	CacheHits	623
54999	12	CacheMisses	1528
54999	13	CacheHits	643
54999	13	CacheMisses	1518
54999	14	CacheHits	594
54999	14	CacheMisses	1480
54999	15	CacheHits	548
54999	15	CacheMisses	1489
54999	16	CacheHits	648
54999	16	CacheMisses	1515
54999	17	CacheHits	668
54999	17	CacheMisses	1535
54999	18	CacheHits	662
54999	18	CacheMisses	1543
54999	19	CacheHits	673
54999	19	CacheMisses	1537
54999	20	CacheHits	645
54999	20	CacheMisses	1548
54999	21	CacheHits	649
54999	21	CacheMisses	1523
54999	22	CacheHits	667
54999	22	CacheMisses	1538
54999	23	CacheHits	645
54999	23	CacheMisses	1473
54999	24	CacheHits	688
54999	24	CacheMisses	1499
54999	25	CacheHits	643
54999	25	CacheMisses	1483
54999	26	CacheHits	653
54999	26	CacheMisses	1525
54999	27	CacheHits	651
54999	27	CacheMisses	1519
54999	28	CacheHits	626
54999	28	CacheMisses	1518
54999	29	CacheHits	650
54999	29	CacheMisses	1522
54999	30	CacheHits	743
54999	30	CacheMisses	1503
54999	31	CacheHits	675
54999	31	CacheMisses	1495
54999	32	CacheHits	638
54999	32	CacheMisses	1496
54999	33	CacheHits	681
54999	33	CacheMisses	1523
54999	34	CacheHits	716
54999	34	CacheMisses	1529
54999	35	CacheHits	716
54999	35	CacheMisses	1527
54999	36	CacheHits	602
54999	36	CacheMisses	1535
54999	37	CacheHits	623
54999	37	CacheMisses	1518
54999	38	CacheHits	644
54999	38	CacheMisses	1550
