Time	Node	Type	Packets	
54999	0	CacheHits	1672
54999	0	CacheMisses	14027
54999	1	CacheHits	887
54999	1	CacheMisses	10078
54999	2	CacheHits	1482
54999	2	CacheMisses	13920
54999	3	CacheHits	1496
54999	3	CacheMisses	14809
54999	4	CacheHits	1141
54999	4	CacheMisses	13280
54999	5	CacheHits	1904
54999	5	CacheMisses	17951
54999	6	CacheHits	1286
54999	6	CacheMisses	11288
54999	7	CacheHits	282
54999	7	CacheMisses	1178
54999	8	CacheHits	757
54999	8	CacheMisses	1768
54999	9	CacheHits	838
54999	9	CacheMisses	1813
54999	10	CacheHits	785
54999	10	CacheMisses	1850
54999	11	CacheHits	770
54999	11	CacheMisses	1893
54999	12	CacheHits	679
54999	12	CacheMisses	1846
54999	13	CacheHits	799
54999	13	CacheMisses	1838
54999	14	CacheHits	666
54999	14	CacheMisses	1826
54999	15	CacheHits	647
54999	15	CacheMisses	1795
54999	16	CacheHits	744
54999	16	CacheMisses	1836
54999	17	CacheHits	817
54999	17	CacheMisses	1842
54999	18	CacheHits	690
54999	18	CacheMisses	1893
54999	19	CacheHits	823
54999	19	CacheMisses	1906
54999	20	CacheHits	760
54999	20	CacheMisses	1880
54999	21	CacheHits	796
54999	21	CacheMisses	1827
54999	22	CacheHits	775
54999	22	CacheMisses	1896
54999	23	CacheHits	824
54999	23	CacheMisses	1770
54999	24	CacheHits	846
54999	24	CacheMisses	1851
54999	25	CacheHits	791
54999	25	CacheMisses	1780
54999	26	CacheHits	734
54999	26	CacheMisses	1847
54999	27	CacheHits	730
54999	27	CacheMisses	1861
54999	28	CacheHits	798
54999	28	CacheMisses	1824
54999	29	CacheHits	767
54999	29	CacheMisses	1812
54999	30	CacheHits	888
54999	30	CacheMisses	1836
54999	31	CacheHits	817
54999	31	CacheMisses	1818
54999	32	CacheHits	778
54999	32	CacheMisses	1795
54999	33	CacheHits	826
54999	33	CacheMisses	1812
54999	34	CacheHits	761
54999	34	CacheMisses	1851
54999	35	CacheHits	770
54999	35	CacheMisses	1878
54999	36	CacheHits	737
54999	36	CacheMisses	1872
54999	37	CacheHits	730
54999	37	CacheMisses	1878
54999	38	CacheHits	805
54999	38	CacheMisses	1930
